,Region,District,Day,Shipment Level in %,Instance Number,Volume Letters,Volume Packages,Volume Others,Volume All,Total number of post objects with shipments,Total number of all post objects,TSP sequence default,TSP sequence solver,TSP recalc,Similarity%_recalc_seqsolver,Similarity%_recalc_seqdefault,Similarity%_seqdefault_seqsolver
0,Warmsen,31603-06,Monday,5,1,4,0,0,4,4,422,3202.43,3027.56,2852,20.0,40.0,20.0
1,Warmsen,31600-01,Monday,5,1,3,0,0,3,2,426,2934.41,2975.92,2934,100.0,0.0,0.0
2,Warmsen,31603-06,Monday,5,2,2,1,0,3,3,422,2397.78,2348.98,2334,0.0,25.0,25.0
3,Warmsen,31600-01,Monday,5,2,3,1,0,4,3,426,2791.7,2804.27,2792,100.0,0.0,0.0
4,Warmsen,31603-06,Monday,10,1,2,0,0,2,2,422,2409.94,2362.74,2347,0.0,100.0,0.0
5,Warmsen,31600-01,Monday,10,1,6,1,0,7,6,426,3125.86,3281.23,3102,37.5,62.5,25.0
6,Warmsen,31603-06,Monday,10,2,4,5,0,9,9,422,3003.97,2988.91,2873,10.0,20.0,20.0
7,Warmsen,31600-01,Monday,10,2,6,1,0,7,6,426,3050.3,3077.2,3017,0.0,37.5,25.0
8,Warmsen,31603-06,Monday,50,1,35,14,0,49,45,422,7461.01,7682.38,6786,15.22,47.83,30.43
9,Warmsen,31600-01,Monday,50,1,33,14,0,47,42,426,6448.76,6997.52,6091,40.91,31.82,22.73
10,Warmsen,31603-06,Monday,50,2,26,17,0,43,41,422,6756.57,6976.97,6251,4.76,35.71,16.67
11,Warmsen,31600-01,Monday,50,2,32,10,0,42,37,426,6074.45,6163.33,5761,33.33,17.95,41.03
12,Warmsen,31603-06,Monday,80,1,28,15,0,43,40,422,6362.89,6348.63,5719,17.07,39.02,24.39
13,Warmsen,31600-01,Monday,80,1,60,13,0,73,62,426,7889.87,8502.47,7503,42.19,31.25,43.75
14,Warmsen,31603-06,Monday,80,2,24,18,0,42,39,422,6210.47,5927.26,5667,25.0,40.0,22.5
15,Warmsen,31600-01,Monday,80,2,44,17,0,61,55,426,6950.77,7956.6,6690,28.07,15.79,36.84
16,Warmsen,31603-06,Friday,5,1,36,1,11,48,47,422,7028.61,7314.24,6595,10.42,27.08,14.58
17,Warmsen,31600-01,Friday,5,1,19,6,11,36,33,426,5884.43,6079.75,5733,31.43,37.14,42.86
18,Warmsen,31603-06,Friday,5,2,32,7,11,50,50,422,7128.66,6915.13,6358,47.06,13.73,17.65
19,Warmsen,31600-01,Friday,5,2,25,1,12,38,36,426,6105.37,6867.27,5863,26.32,26.32,23.68
20,Warmsen,31603-06,Friday,10,1,61,5,24,90,80,422,9741.7,9502.11,8865,44.44,12.35,11.11
21,Warmsen,31600-01,Friday,10,1,44,5,18,67,62,426,7472.41,8205.81,6862,39.06,34.38,32.81
22,Warmsen,31603-06,Friday,10,2,58,6,31,95,82,422,10005.1,9557.4,8943,18.07,34.94,13.25
23,Warmsen,31600-01,Friday,10,2,48,9,22,79,70,426,8740.26,9367.02,7948,44.44,26.39,34.72
24,Warmsen,31603-06,Friday,50,1,223,26,119,368,230,422,17515.29,16537.19,16450,51.95,19.05,19.48
25,Warmsen,31600-01,Friday,50,1,242,41,105,388,221,426,16671.34,17636.77,16043,41.7,26.01,29.15
26,Warmsen,31603-06,Friday,50,2,252,32,126,410,257,422,18943.33,17935.45,17817,49.61,13.57,22.09
27,Warmsen,31600-01,Friday,50,2,210,33,102,345,218,426,16804.68,17614.59,16400,40.45,31.36,27.73
28,Warmsen,31603-06,Friday,80,1,426,64,191,681,301,422,21000.34,19738.34,19428,50.0,15.23,21.85
29,Warmsen,31600-01,Friday,80,1,413,52,185,650,288,426,19951.37,21104.04,19626,61.38,25.86,31.38
30,Warmsen,31603-06,Friday,80,2,436,55,206,697,319,422,22012.64,20877.96,20767,55.62,20.0,23.44
31,Warmsen,31600-01,Friday,80,2,374,54,161,589,284,426,19706.2,20683.5,19062,46.15,22.38,27.27
