,Region,District,Day,Shipment Level in %,Instance Number,Volume Letters,Volume Packages,Volume Others,Volume All,Total number of post objects with shipments,Total number of all post objects,TSP sequence default,TSP sequence solver,TSP recalc,Similarity%_recalc_seqsolver,Similarity%_recalc_seqdefault,Similarity%_seqdefault_seqsolver
0,Warmsen,31603-06,Monday,5,1,56,20,0,76,69,422,9421.0,9238.58,8467,35.71428571428571,17.14285714285714,35.71428571428571
1,Warmsen,31600-01,Monday,5,1,53,26,0,79,68,426,8775.15,9374.79,8476,34.28571428571429,24.285714285714292,34.28571428571429
2,Warmsen,31603-06,Monday,5,2,50,14,0,64,55,422,7909.93,7632.38,7055,33.92857142857143,12.5,33.92857142857143
3,Warmsen,31600-01,Monday,5,2,63,20,0,83,68,426,7809.33,8817.8,7595,47.14285714285714,24.285714285714292,47.14285714285714
4,Warmsen,31603-06,Monday,10,1,53,31,0,84,70,422,8952.58,8907.8,7991,28.16901408450704,14.08450704225352,28.16901408450704
5,Warmsen,31600-01,Monday,10,1,46,33,0,79,62,426,7918.53,8798.36,7483,29.6875,28.125,29.6875
6,Warmsen,31603-06,Monday,10,2,53,17,0,70,66,422,8414.21,8335.93,7475,10.447761194029852,34.32835820895522,10.447761194029852
7,Warmsen,31600-01,Monday,10,2,62,32,0,94,85,426,10308.97,10866.02,9710,45.97701149425287,33.33333333333334,45.97701149425287
8,Warmsen,31603-06,Monday,50,1,77,29,0,106,88,422,9911.02,9855.04,9454,13.483146067415731,44.9438202247191,13.483146067415731
9,Warmsen,31600-01,Monday,50,1,78,28,0,106,93,426,9949.57,10816.48,9326,38.94736842105263,31.578947368421055,38.94736842105263
10,Warmsen,31603-06,Monday,50,2,67,43,0,110,91,422,9960.9,9728.73,9049,10.869565217391312,36.95652173913043,10.869565217391312
11,Warmsen,31600-01,Monday,50,2,75,27,0,102,85,426,9444.73,10090.34,8981,28.735632183908038,34.48275862068965,28.735632183908038
12,Warmsen,31603-06,Monday,80,1,102,44,0,146,113,422,11690.92,11674.95,10965,38.59649122807017,21.929824561403507,38.59649122807017
13,Warmsen,31600-01,Monday,80,1,110,37,0,147,112,426,11229.24,11842.68,10718,46.49122807017544,48.24561403508771,46.49122807017544
14,Warmsen,31603-06,Monday,80,2,88,39,0,127,109,422,11583.65,11312.68,10513,50.0,10.0,50.0
15,Warmsen,31600-01,Monday,80,2,100,37,0,137,106,426,10896.39,11577.81,10343,44.44444444444444,23.148148148148152,44.44444444444444
16,Warmsen,31603-06,Friday,5,1,486,68,257,811,331,422,22330.49,21224.97,20981,57.53012048192771,22.891566265060234,57.53012048192771
17,Warmsen,31600-01,Friday,5,1,484,68,231,783,315,426,21169.06,22206.86,20959,64.03785488958991,25.552050473186114,64.03785488958991
18,Warmsen,31603-06,Friday,5,2,512,92,280,884,355,422,23579.92,22265.94,22580,62.92134831460674,19.382022471910105,62.92134831460674
19,Warmsen,31600-01,Friday,5,2,503,61,223,787,310,426,21118.22,22026.8,20537,63.141025641025635,25.641025641025635,63.141025641025635
20,Warmsen,31603-06,Friday,10,1,562,73,281,916,351,422,23199.76,21861.94,22129,60.51136363636363,19.318181818181827,60.51136363636363
21,Warmsen,31600-01,Friday,10,1,543,63,263,869,312,426,20810.93,21869.73,20553,48.40764331210191,22.29299363057325,48.40764331210191
22,Warmsen,31603-06,Friday,10,2,532,86,248,866,335,422,23107.16,21802.35,21532,47.61904761904761,16.666666666666657,47.61904761904761
23,Warmsen,31600-01,Friday,10,2,524,54,245,823,312,426,21048.81,22179.99,20832,56.36942675159236,26.11464968152866,56.36942675159236
24,Warmsen,31603-06,Friday,50,1,719,118,338,1175,368,422,24073.2,22798.88,22609,65.04065040650406,21.68021680216802,65.04065040650406
25,Warmsen,31600-01,Friday,50,1,782,97,314,1193,350,426,22722.63,23768.72,22091,57.95454545454545,21.306818181818173,57.95454545454545
26,Warmsen,31603-06,Friday,50,2,786,106,338,1230,381,422,24505.79,23071.23,23014,67.27748691099477,21.727748691099478,67.27748691099477
27,Warmsen,31600-01,Friday,50,2,685,92,333,1110,346,426,22703.59,23756.32,22175,49.42528735632183,21.839080459770116,49.42528735632183
28,Warmsen,31603-06,Friday,80,1,882,137,437,1456,385,422,25070.09,23547.86,23631,62.69430051813472,16.32124352331607,62.69430051813472
29,Warmsen,31600-01,Friday,80,1,896,119,424,1439,357,426,22825.41,23885.76,22352,60.16713091922006,22.84122562674095,60.16713091922006
30,Warmsen,31603-06,Friday,80,2,914,128,424,1466,388,422,25016.77,23597.53,23493,70.43701799485862,21.850899742930594,70.43701799485862
31,Warmsen,31600-01,Friday,80,2,888,102,381,1371,359,426,23056.15,24200.08,22439,50.692520775623265,16.897506925207765,50.692520775623265
